"filename", "language", "CSS", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\dev\imersive vision\client\src\server\modules\installment\infraestructure\supabaseDBManager.ts", "TypeScript", 0, 0, 83, 0, 18, 101
"c:\dev\imersive vision\client\src\server\modules\installment\infraestructure\zodValidatorManager.ts", "TypeScript", 0, 0, 57, 0, 18, 75
"c:\dev\imersive vision\client\src\server\modules\invoiceOLD\aplication\generatePdf.ts", "TypeScript", 0, 0, 462, 1, 86, 549
"c:\dev\imersive vision\client\src\server\modules\invoiceOLD\aplication\pdf.usecase.ts", "TypeScript", 0, 0, 17, 4, 4, 25
"c:\dev\imersive vision\client\src\server\modules\invoiceOLD\aplication\utils\generateQr.ts", "TypeScript", 0, 0, 10, 0, 1, 11
"c:\dev\imersive vision\client\src\server\modules\invoiceOLD\domain\interfaces.ts", "TypeScript", 0, 0, 34, 0, 4, 38
"c:\dev\imersive vision\client\src\server\modules\invoiceOLD\infraestructure\pdf.controller.ts", "TypeScript", 0, 0, 30, 0, 3, 33
"c:\dev\imersive vision\client\src\server\modules\invoice\aplication\invoice.usecase.ts", "TypeScript", 0, 0, 189, 0, 30, 219
"c:\dev\imersive vision\client\src\server\modules\invoice\aplication\invoiceComplete.usecase.ts", "TypeScript", 0, 0, 275, 42, 70, 387
"c:\dev\imersive vision\client\src\server\modules\invoice\domain\interfaces.ts", "TypeScript", 0, 0, 21, 0, 2, 23
"c:\dev\imersive vision\client\src\server\modules\invoice\infraestructure\completeInvoice.controller.ts", "TypeScript", 0, 0, 135, 76, 44, 255
"c:\dev\imersive vision\client\src\server\modules\invoice\infraestructure\invoice.controller.ts", "TypeScript", 0, 0, 221, 0, 48, 269
"c:\dev\imersive vision\client\src\server\modules\invoice\infraestructure\supabaseDBManager.ts", "TypeScript", 0, 0, 121, 0, 30, 151
"c:\dev\imersive vision\client\src\server\modules\invoice\infraestructure\utilities\formatters.ts", "TypeScript", 0, 0, 38, 0, 8, 46
"c:\dev\imersive vision\client\src\server\modules\invoice\infraestructure\zodValidatorManager.ts", "TypeScript", 0, 0, 70, 0, 17, 87
"c:\dev\imersive vision\client\src\server\modules\methodPayment\aplication\methodPayment.usecase.ts", "TypeScript", 0, 0, 179, 0, 26, 205
"c:\dev\imersive vision\client\src\server\modules\methodPayment\domain\interfaces.ts", "TypeScript", 0, 0, 14, 0, 2, 16
"c:\dev\imersive vision\client\src\server\modules\methodPayment\infraestructure\methodPayment.controller.ts", "TypeScript", 0, 0, 223, 0, 46, 269
"c:\dev\imersive vision\client\src\server\modules\methodPayment\infraestructure\supabaseDBManager.ts", "TypeScript", 0, 0, 83, 0, 18, 101
"c:\dev\imersive vision\client\src\server\modules\methodPayment\infraestructure\zodValidatorManager.ts", "TypeScript", 0, 0, 60, 0, 16, 76
"c:\dev\imersive vision\client\src\server\modules\permission\aplication\permission.usecase.ts", "TypeScript", 0, 0, 158, 0, 26, 184
"c:\dev\imersive vision\client\src\server\modules\permission\domain\interfaces.ts", "TypeScript", 0, 0, 8, 0, 2, 10
"c:\dev\imersive vision\client\src\server\modules\permission\infraestructure\permission.controller.ts", "TypeScript", 0, 0, 202, 0, 42, 244
"c:\dev\imersive vision\client\src\server\modules\permission\infraestructure\supabaseDBManager.ts", "TypeScript", 0, 0, 83, 0, 18, 101
"c:\dev\imersive vision\client\src\server\modules\permission\infraestructure\zodValidatorManager.ts", "TypeScript", 0, 0, 55, 0, 18, 73
"c:\dev\imersive vision\client\src\server\modules\projectDescription\aplication\projectDescription.usecase.ts", "TypeScript", 0, 0, 170, 0, 26, 196
"c:\dev\imersive vision\client\src\server\modules\projectDescription\domain\interfaces.ts", "TypeScript", 0, 0, 14, 0, 2, 16
"c:\dev\imersive vision\client\src\server\modules\projectDescription\infraestructure\projectDescription.controller.ts", "TypeScript", 0, 0, 233, 0, 46, 279
"c:\dev\imersive vision\client\src\server\modules\projectDescription\infraestructure\supabaseDBManager.ts", "TypeScript", 0, 0, 87, 0, 18, 105
"c:\dev\imersive vision\client\src\server\modules\projectDescription\infraestructure\zodValidatorManager.ts", "TypeScript", 0, 0, 59, 0, 18, 77
"c:\dev\imersive vision\client\src\server\modules\project\aplication\project.usecase.ts", "TypeScript", 0, 0, 169, 0, 31, 200
"c:\dev\imersive vision\client\src\server\modules\project\domain\interfaces.ts", "TypeScript", 0, 0, 15, 0, 3, 18
"c:\dev\imersive vision\client\src\server\modules\project\infraestructure\project.controller.ts", "TypeScript", 0, 0, 218, 0, 46, 264
"c:\dev\imersive vision\client\src\server\modules\project\infraestructure\supabaseDBManager.ts", "TypeScript", 0, 0, 99, 0, 21, 120
"c:\dev\imersive vision\client\src\server\modules\project\infraestructure\zodValidatorManager.ts", "TypeScript", 0, 0, 57, 0, 18, 75
"c:\dev\imersive vision\client\src\server\modules\userPermission\aplication\userPermission.usecase.ts", "TypeScript", 0, 0, 168, 0, 26, 194
"c:\dev\imersive vision\client\src\server\modules\userPermission\domain\interfaces.ts", "TypeScript", 0, 0, 8, 0, 2, 10
"c:\dev\imersive vision\client\src\server\modules\userPermission\infraestructure\supabaseDBManager.ts", "TypeScript", 0, 0, 115, 0, 26, 141
"c:\dev\imersive vision\client\src\server\modules\userPermission\infraestructure\userPermission.controller.ts", "TypeScript", 0, 0, 241, 0, 52, 293
"c:\dev\imersive vision\client\src\server\modules\userPermission\infraestructure\zodValidatorManager.ts", "TypeScript", 0, 0, 64, 0, 18, 82
"c:\dev\imersive vision\client\src\server\modules\user\aplication\user.usecase.ts", "TypeScript", 0, 0, 219, 0, 43, 262
"c:\dev\imersive vision\client\src\server\modules\user\domain\interfaces.ts", "TypeScript", 0, 0, 13, 0, 2, 15
"c:\dev\imersive vision\client\src\server\modules\user\infraestructure\supabaseDBManager.ts", "TypeScript", 0, 0, 96, 0, 20, 116
"c:\dev\imersive vision\client\src\server\modules\user\infraestructure\user.controller.ts", "TypeScript", 0, 0, 255, 0, 51, 306
"c:\dev\imersive vision\client\src\server\modules\user\infraestructure\zodValidatorManager.ts", "TypeScript", 0, 0, 57, 0, 18, 75
"c:\dev\imersive vision\client\src\server\utilities\JWTManager.ts", "TypeScript", 0, 0, 21, 0, 4, 25
"c:\dev\imersive vision\client\src\server\utilities\adapters.ts", "TypeScript", 0, 0, 10, 15, 5, 30
"c:\dev\imersive vision\client\src\server\utilities\cookieManager.ts", "TypeScript", 0, 0, 13, 0, 4, 17
"c:\dev\imersive vision\client\src\server\utilities\cryptojs.ts", "TypeScript", 0, 0, 28, 0, 9, 37
"c:\dev\imersive vision\client\src\server\utilities\enums.ts", "TypeScript", 0, 0, 161, 0, 22, 183
"c:\dev\imersive vision\client\src\server\utilities\formatters.ts", "TypeScript", 0, 0, 570, 0, 140, 710
"c:\dev\imersive vision\client\src\server\utilities\generators.ts", "TypeScript", 0, 0, 26, 0, 5, 31
"c:\dev\imersive vision\client\src\server\utilities\interfaces.ts", "TypeScript", 0, 0, 136, 4, 27, 167
"c:\dev\imersive vision\client\src\server\utilities\supabaseClient.ts", "TypeScript", 0, 0, 3, 0, 2, 5
"c:\dev\imersive vision\client\src\server\utilities\validations.ts", "TypeScript", 0, 0, 30, 0, 6, 36
"c:\dev\imersive vision\client\src\styles\globals.css", "CSS", 52, 0, 0, 0, 12, 64
"c:\dev\imersive vision\client\src\utils\consts.ts", "TypeScript", 0, 0, 28, 0, 2, 30
"c:\dev\imersive vision\client\src\utils\enums.ts", "TypeScript", 0, 0, 12, 0, 3, 15
"c:\dev\imersive vision\client\src\utils\formater.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\dev\imersive vision\client\src\utils\notifications.tsx", "TypeScript JSX", 0, 38, 0, 0, 3, 41
"c:\dev\imersive vision\client\src\utils\validations.ts", "TypeScript", 0, 0, 9, 0, 3, 12
"Total", "-", 63, 3452, 7755, 182, 1906, 13358
