"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\dev\imersive vision\client\src\pages\api\user-permission\[user_id]\[permission_id]\index.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"c:\dev\imersive vision\client\src\pages\api\user-permission\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\user\[id]\anulate.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\user\[id]\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\user\index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\dev\imersive vision\client\src\pages\api\user\login.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\pages\api\user\logout.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\server\configs\env.config.ts", "TypeScript", 8, 0, 0, 4, 2, 14
"c:\dev\imersive vision\client\src\server\configs\mailer.config.ts", "TypeScript", 8, 0, 0, 6, 3, 17
"c:\dev\imersive vision\client\src\server\configs\supabase.config.ts", "TypeScript", 5, 0, 0, 4, 2, 11
"c:\dev\imersive vision\client\src\server\modules\client\aplication\client.usecase.ts", "TypeScript", 206, 0, 0, 0, 28, 234
"c:\dev\imersive vision\client\src\server\modules\client\domain\interfaces.ts", "TypeScript", 14, 0, 0, 0, 3, 17
"c:\dev\imersive vision\client\src\server\modules\client\infraestructure\client.controller.ts", "TypeScript", 221, 0, 0, 0, 47, 268
"c:\dev\imersive vision\client\src\server\modules\client\infraestructure\supabaseDBManager.ts", "TypeScript", 83, 0, 0, 0, 18, 101
"c:\dev\imersive vision\client\src\server\modules\client\infraestructure\zodValidatorManager.ts", "TypeScript", 58, 0, 0, 0, 18, 76
"c:\dev\imersive vision\client\src\server\modules\form\aplication\form.usecase.ts", "TypeScript", 62, 0, 0, 5, 12, 79
"c:\dev\imersive vision\client\src\server\modules\form\domain\enums.ts", "TypeScript", 8, 0, 0, 0, 1, 9
