"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\dev\imersive vision\client\src\server\modules\methodPayment\aplication\methodPayment.usecase.ts", "TypeScript", 179, 0, 0, 0, 26, 205
"c:\dev\imersive vision\client\src\server\modules\methodPayment\domain\interfaces.ts", "TypeScript", 14, 0, 0, 0, 2, 16
"c:\dev\imersive vision\client\src\server\modules\methodPayment\infraestructure\methodPayment.controller.ts", "TypeScript", 223, 0, 0, 0, 46, 269
"c:\dev\imersive vision\client\src\server\modules\methodPayment\infraestructure\supabaseDBManager.ts", "TypeScript", 83, 0, 0, 0, 18, 101
"c:\dev\imersive vision\client\src\server\modules\methodPayment\infraestructure\zodValidatorManager.ts", "TypeScript", 60, 0, 0, 0, 16, 76
"c:\dev\imersive vision\client\src\server\modules\permission\aplication\permission.usecase.ts", "TypeScript", 158, 0, 0, 0, 26, 184
"c:\dev\imersive vision\client\src\server\modules\permission\domain\interfaces.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\server\modules\permission\infraestructure\permission.controller.ts", "TypeScript", 202, 0, 0, 0, 42, 244
"c:\dev\imersive vision\client\src\server\modules\permission\infraestructure\supabaseDBManager.ts", "TypeScript", 83, 0, 0, 0, 18, 101
"c:\dev\imersive vision\client\src\server\modules\permission\infraestructure\zodValidatorManager.ts", "TypeScript", 55, 0, 0, 0, 18, 73
"c:\dev\imersive vision\client\src\server\modules\projectDescription\aplication\projectDescription.usecase.ts", "TypeScript", 170, 0, 0, 0, 26, 196
"c:\dev\imersive vision\client\src\server\modules\projectDescription\domain\interfaces.ts", "TypeScript", 14, 0, 0, 0, 2, 16
"c:\dev\imersive vision\client\src\server\modules\projectDescription\infraestructure\projectDescription.controller.ts", "TypeScript", 233, 0, 0, 0, 46, 279
"c:\dev\imersive vision\client\src\server\modules\projectDescription\infraestructure\supabaseDBManager.ts", "TypeScript", 87, 0, 0, 0, 18, 105
"c:\dev\imersive vision\client\src\server\modules\projectDescription\infraestructure\zodValidatorManager.ts", "TypeScript", 59, 0, 0, 0, 18, 77
"c:\dev\imersive vision\client\src\server\modules\project\aplication\project.usecase.ts", "TypeScript", 169, 0, 0, 0, 31, 200
"c:\dev\imersive vision\client\src\server\modules\project\domain\interfaces.ts", "TypeScript", 15, 0, 0, 0, 2, 17
"c:\dev\imersive vision\client\src\server\modules\project\infraestructure\project.controller.ts", "TypeScript", 218, 0, 0, 0, 46, 264
"c:\dev\imersive vision\client\src\server\modules\project\infraestructure\supabaseDBManager.ts", "TypeScript", 99, 0, 0, 0, 21, 120
"c:\dev\imersive vision\client\src\server\modules\project\infraestructure\zodValidatorManager.ts", "TypeScript", 57, 0, 0, 0, 18, 75
"c:\dev\imersive vision\client\src\server\modules\userPermission\aplication\userPermission.usecase.ts", "TypeScript", 168, 0, 0, 0, 26, 194
"c:\dev\imersive vision\client\src\server\modules\userPermission\domain\interfaces.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\server\modules\userPermission\infraestructure\supabaseDBManager.ts", "TypeScript", 115, 0, 0, 0, 26, 141
"c:\dev\imersive vision\client\src\server\modules\userPermission\infraestructure\userPermission.controller.ts", "TypeScript", 241, 0, 0, 0, 52, 293
"c:\dev\imersive vision\client\src\server\modules\userPermission\infraestructure\zodValidatorManager.ts", "TypeScript", 64, 0, 0, 0, 18, 82
"c:\dev\imersive vision\client\src\server\modules\user\aplication\user.usecase.ts", "TypeScript", 228, 0, 0, 0, 43, 271
